Max Temperature,Day,Year,Month
71.060000000000002,1,1985,5
71.060000000000002,2,1985,5
68,3,1985,5
68,4,1985,5
64.939999999999998,5,1985,5
64.040000000000006,6,1985,5
64.040000000000006,7,1985,5
64.939999999999998,8,1985,5
69.079999999999998,9,1985,5
66.019999999999996,10,1985,5
51.079999999999998,11,1985,5
55.939999999999998,12,1985,5
59,13,1985,5
57.920000000000002,14,1985,5
66.019999999999996,15,1985,5
66.920000000000002,16,1985,5
66.019999999999996,17,1985,5
66.019999999999996,18,1985,5
68,19,1985,5
66.920000000000002,20,1985,5
66.920000000000002,21,1985,5
62.960000000000001,22,1985,5
,23,1985,5
69.980000000000004,24,1985,5
73.939999999999998,25,1985,5
71.060000000000002,26,1985,5
71.060000000000002,27,1985,5
69.079999999999998,28,1985,5
73.04,29,1985,5
69.08,30,1985,5
62.06,31,1985,5
62.960000000000001,1,1985,6
62.960000000000001,2,1985,6
64.939999999999998,3,1985,6
60.079999999999998,4,1985,6
69.079999999999998,5,1985,6
75.920000000000002,6,1985,6
82.040000000000006,7,1985,6
86,8,1985,6
84.920000000000002,9,1985,6
84.019999999999996,10,1985,6
82.040000000000006,11,1985,6
82.939999999999998,12,1985,6
84.920000000000002,13,1985,6
82.939999999999998,14,1985,6
82.939999999999998,15,1985,6
86,16,1985,6
84.920000000000002,17,1985,6
87.079999999999998,18,1985,6
87.079999999999998,19,1985,6
84.019999999999996,20,1985,6
80.959999999999994,21,1985,6
82.040000000000006,22,1985,6
84.920000000000002,23,1985,6
80.959999999999994,24,1985,6
73.939999999999998,25,1985,6
71.959999999999994,26,1985,6
73.040000000000006,27,1985,6
80.959999999999994,28,1985,6
84.02,29,1985,6
82.04,30,1985,6
NA,31,1985,6
80.959999999999994,1,1985,7
86,2,1985,7
89.959999999999994,3,1985,7
87.980000000000004,4,1985,7
91.939999999999998,5,1985,7
91.939999999999998,6,1985,7
89.060000000000002,7,1985,7
87.980000000000004,8,1985,7
89.959999999999994,9,1985,7
87.079999999999998,10,1985,7
84.019999999999996,11,1985,7
84.019999999999996,12,1985,7
84.920000000000002,13,1985,7
87.079999999999998,14,1985,7
84.019999999999996,15,1985,7
84.920000000000002,16,1985,7
78.980000000000004,17,1985,7
80.959999999999994,18,1985,7
75.920000000000002,19,1985,7
73.939999999999998,20,1985,7
64.939999999999998,21,1985,7
71.959999999999994,22,1985,7
73.040000000000006,23,1985,7
80.060000000000002,24,1985,7
80.060000000000002,25,1985,7
77,26,1985,7
80.060000000000002,27,1985,7
82.040000000000006,28,1985,7
77,29,1985,7
73.94,30,1985,7
73.04,31,1985,7
77,1,1985,8
68,2,1985,8
78.079999999999998,3,1985,8
80.060000000000002,4,1985,8
82.040000000000006,5,1985,8
80.959999999999994,6,1985,8
82.939999999999998,7,1985,8
82.939999999999998,8,1985,8
80.060000000000002,9,1985,8
80.060000000000002,10,1985,8
80.060000000000002,11,1985,8
75.920000000000002,12,1985,8
78.980000000000004,13,1985,8
78.980000000000004,14,1985,8
80.959999999999994,15,1985,8
80.959999999999994,16,1985,8
78.980000000000004,17,1985,8
75.019999999999996,18,1985,8
82.040000000000006,19,1985,8
82.040000000000006,20,1985,8
69.980000000000004,21,1985,8
80.060000000000002,22,1985,8
84.019999999999996,23,1985,8
87.980000000000004,24,1985,8
91.040000000000006,25,1985,8
84.920000000000002,26,1985,8
84.019999999999996,27,1985,8
80.959999999999994,28,1985,8
78.98,29,1985,8
82.04,30,1985,8
82.94,31,1985,8
82.939999999999998,1,1985,9
